Year,Destination,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,Rwanda,5.392540142,5.856670149,6.375845223,7.907098937,11.23982761,12.93934409,12.15370084,9.853692711,7.180879345,5.209890598,3.959491834,3.006211336,2.424485047,2.218066042,1.982247966,2.300008132,100
1990,Seychelles,5.159903252,5.079279764,4.649287826,3.52055899,6.960494491,12.22789573,15.50658425,13.84036549,9.916689062,6.530502553,4.810534802,4.246170384,2.741198603,1.908089223,1.424348293,1.478097286,100
1990,Somalia,18.37635429,13.10031069,10.48016492,7.836393515,7.893053227,9.356797284,8.823025169,7.822803548,5.733293748,3.696262132,2.704194491,1.569954881,1.407920651,0.462267977,0.354384542,0.382818936,100
1990,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100
1990,Uganda,8.288808845,7.696661514,7.836369596,8.299734734,9.492447704,10.25976748,9.542599323,8.164683588,6.639357916,5.707612478,4.766374056,4.294232385,3.389353886,2.484475387,1.254148703,1.88337241,100
1990,United Republic of Tanzania,7.270066635,7.719524411,8.504159227,9.168938635,10.15913941,10.50389791,9.798005313,7.871085754,6.137537564,5.007098994,4.435346893,3.920560951,3.4447977,2.58368538,1.692783415,1.783371804,100
1990,Zambia,7.154095094,7.98626666,9.192592885,10.03623279,10.52901311,10.32760036,9.437011923,7.955445491,6.569209652,5.518781202,4.678366765,3.855154841,2.71082934,1.899444144,0.859050493,1.290905246,100
1990,Zimbabwe,5.047214436,5.881742954,6.990033837,7.882792695,11.14752058,13.16899083,12.25676868,9.017087813,7.473106357,5.911735567,4.776164168,3.646336035,3.45856313,1.670971458,0.668292862,1.002678596,100
1990,Middle Africa,9.386661007,10.20061211,10.05169356,9.866007545,10.11550601,9.999041444,9.096697774,7.71562378,6.354200188,5.030571094,3.647579988,2.947012386,2.279035693,1.551354645,0.749180092,1.009222679,100
1990,Angola,4.063609512,7.008383805,10.80943999,12.92478444,12.29823672,10.67816332,9.222185756,6.936778351,5.668765104,5.325655637,4.851269505,3.532535728,2.783662022,1.784169228,1.190440672,0.92192022,100
1990,Cameroon,6.264697902,8.843614327,10.41289797,9.95424807,10.57457489,11.36449288,11.36449288,9.74734684,8.03485287,5.997874457,2.420631331,1.550440183,1.355221901,1.05561083,0.422093584,0.636909069,100
1990,Central African Republic,12.16051403,10.93940566,9.80605051,9.639468126,10.25374067,10.23886724,8.985037332,7.173453907,5.651902311,4.37427492,3.246869144,2.452628135,1.933545528,1.521551596,0.760032127,0.862658774,100
1990,Chad,6.757956471,9.998385838,11.7362998,11.05162627,10.15173119,10.00914692,8.728578731,6.959726669,5.528503403,4.615156977,3.748890264,2.850340319,3.048075112,2.40779102,0.963116408,1.444674612,100
1990,Congo,7.362824757,6.078072795,7.026397216,8.248647731,10.21319938,11.68314081,11.46322832,10.15841416,7.933054006,5.707693851,4.093458954,3.262421198,2.86349221,1.952977307,0.780882274,1.172095033,100
1990,Democratic Republic of the Congo,11.01281633,11.68293569,10.54078924,10.13930103,9.967329361,9.054169086,7.628806381,6.481886623,5.482409035,4.585557562,3.92936035,3.457465851,2.469921532,1.601179537,0.848853213,1.117219177,100
1990,Equatorial Guinea,9.635036496,7.04379562,5.145985401,5.802919708,8.357664234,10.32846715,10.72992701,10.10948905,8.357664234,6.496350365,4.817518248,4.160583942,3.321167883,2.335766423,1.240875912,2.116788321,100
1990,Gabon,10.0726676,9.265510236,8.645882169,8.377871542,9.456946398,10.96186904,11.09782779,9.232692608,7.055008595,5.073448976,3.622441006,2.555086732,1.992498828,1.292389436,0.516486951,0.781372089,100
1990,Sao Tome and Principe,2.776782515,6.091006808,7.649587961,10.98172698,6.753851666,4.317448943,3.493371551,6.4313866,14.11680401,13.4181297,9.79935507,5.159441061,3.780007166,2.167681834,1.558581154,1.504836976,100
1990,Northern Africa,10.67859521,11.76997337,8.933130826,9.381574567,9.512691411,8.888981358,7.606815912,6.734312583,5.661284953,4.367301931,4.169648802,4.113931425,4.1499251,1.571945739,1.1685253,1.291361518,100
1990,Algeria,6.325514502,6.25287457,6.183519861,6.845309797,8.702920928,10.2842083,10.23602503,8.928141221,7.456361287,6.145922308,5.25051651,4.70662958,3.992276076,3.277922571,2.458441928,2.953415537,100
