Year,Destination,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,Rwanda,5.208823894,5.519890941,5.892923535,7.603172636,11.50328417,14.06370058,13.53203619,11.0645681,7.588300905,5.092328665,3.594001735,2.551741232,2.342297682,1.784607758,1.390506878,1.267815095,100
1990,Seychelles,4.355716878,4.355716878,4.174228675,3.35753176,6.896551724,12.34119782,15.83484574,14.47368421,10.66243194,7.123411978,5.217785844,4.491833031,2.858439201,1.814882033,1.08892922,0.952813067,100
1990,Somalia,17.67969828,12.48971134,9.03067555,6.454519023,6.854189786,9.044598507,9.572851872,9.243614891,7.026179254,4.567548863,3.29236981,1.857076752,1.604416034,0.521291887,0.371824849,0.389433295,100
1990,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100
1990,Uganda,8.116959226,7.51540933,7.553674108,7.826698474,8.758497539,9.449676645,9.034624454,8.109030488,6.941437653,6.210270129,5.316735842,4.848595579,3.855434977,2.845727444,1.444409206,2.172818908,100
1990,United Republic of Tanzania,7.264899961,7.618829175,8.280461555,8.777656233,9.665478669,10.14079537,9.687356646,7.915240481,6.217227143,5.13179717,4.638131197,4.203747486,3.759130527,2.819788983,1.890680687,1.988778715,100
1990,Zambia,6.978649506,7.800037813,8.989055158,9.848956984,10.37064009,10.1871757,9.291561338,7.854656985,6.610320222,5.731511761,4.962641887,4.116744977,2.901118293,2.03911573,0.928525913,1.38928764,100
1990,Zimbabwe,4.308180031,5.031986092,6.001511243,7.009953754,10.57273853,13.37507244,13.09810583,9.989830354,8.458702149,6.704296249,5.302419126,3.851682253,3.354846774,1.470337587,0.588021407,0.882316179,100
1990,Middle Africa,9.257562855,10.0174078,10.1952467,9.807869506,9.73090448,9.808138145,9.134660588,7.8003315,6.442093556,5.123748479,3.765644854,3.092838895,2.370872029,1.65857616,0.758770386,1.035334066,100
1990,Angola,3.665527505,6.21761658,9.458714585,11.10131187,10.69893066,10.29654944,10.09811487,8.146841583,6.75228751,6.349906295,5.787675008,4.205710506,3.141880719,2.017418146,1.240216073,0.821298644,100
1990,Cameroon,6.108832038,8.652689879,10.24277282,9.882015021,10.56092684,11.34772242,11.3463481,9.728778852,8.017756155,5.98514365,2.507438482,1.692469439,1.519305696,1.203900307,0.481697554,0.722202753,100
1990,Central African Republic,11.2761307,10.49431149,9.664854565,9.507930281,10.09359413,10.31496946,9.2501261,7.465112369,5.898671748,4.601244185,3.508378636,2.676119487,2.056829009,1.555231744,0.779016981,0.857479123,100
1990,Chad,6.954376697,9.889617023,11.1105574,9.899583884,8.885455859,9.074826203,8.434455436,7.146238756,5.967657539,5.222634739,4.427777639,3.458500486,3.700196845,2.915306606,1.166122642,1.746692248,100
1990,Congo,7.328696948,5.768574001,6.342947623,7.367505977,9.596696575,11.68462231,11.82278245,10.6103884,8.277189605,5.945543171,4.331087584,3.539383402,3.123350616,2.131391847,0.852246267,1.277593219,100
1990,Democratic Republic of the Congo,11.35474241,11.88019289,11.34014656,10.55389861,9.570193629,8.665801932,7.344189338,6.17679701,5.209891027,4.410699582,3.889930794,3.538804297,2.449899068,1.674666843,0.822599878,1.117546135,100
1990,Equatorial Guinea,7.303754266,5.255972696,3.959044369,4.778156997,7.508532423,9.897610922,10.85324232,10.85324232,9.829351536,8.122866894,6.211604096,5.187713311,4.163822526,2.935153584,1.365187713,1.774744027,100
1990,Gabon,8.786771248,8.337782158,8.016097902,7.995564864,9.264506591,11.05361861,11.55325586,9.962629871,7.777914665,5.631527795,4.051852764,2.852723365,2.138173655,1.290843634,0.51606368,0.770673347,100
1990,Sao Tome and Principe,2.505926177,4.131391805,6.603454114,9.414155097,5.316627159,3.45411446,3.183203522,6.90822892,16.66102269,15.81442601,11.54757873,5.655265831,4.06366407,2.201151371,1.490010159,1.049779885,100
1990,Northern Africa,10.24123162,11.31270401,8.275673774,8.606801485,8.987903072,8.917939646,8.133715464,7.455614666,6.324173623,4.841209027,4.417771848,4.223158138,4.231527746,1.630042181,1.15256821,1.247965494,100
1990,Algeria,6.473900715,6.463916291,6.438622416,6.907890358,8.630536363,10.04433084,9.943820973,8.796277807,7.3771583,5.904122902,5.018837281,4.698004446,4.088288936,3.478573425,2.609262883,3.126456062,100
1990,Egypt,10.57022887,9.913192934,9.482421025,10.28413541,13.09067966,9.655382473,6.938038465,6.628013228,5.895918545,5.069184579,4.074928205,2.669480463,2.394265077,1.668697241,0.66791402,0.997519798,100
