Year,Destination,Total,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Republic of the Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1990,Sri Lanka,18138,..,..,..,..,..,..,..,..,..,..,..,19,..,..,..,2,2,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,7,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,..,..,..,..,..,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17182,2,..,..,..,..,..,..,..,3,1,..,..,..,10,..,..,..,4,..,..,..,..,..,..,..,..,9,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,2,87,..,..,..,..,..,..,..,..,..,1,3,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,..,..,3,..,..,..,..,..,1,..,..,..,..,..,..,..,11,2,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,9,17,..,6,..,..,..,..,..,..,..,..,..,..,..
1990,South-Eastern Asia,1365512,20,212,351,..,..,259,..,..,11,14,3,5627,34,..,..,6,4590,..,..,19,..,..,..,..,47,..,..,162,..,1654,..,..,..,5,51909,..,1131,..,..,..,..,..,6,325561,8280,6645,75,..,55,..,6,..,..,44,..,..,..,633,..,163,..,..,..,47,8,..,..,..,..,..,..,..,..,2,468,..,..,..,..,..,594,1,..,7,..,..,..,20,5,..,..,..,..,..,..,2,..,47147,104537,53,15,6,..,12,260,..,12104,2532,..,1,..,12,..,92534,..,14,..,..,7214,..,..,..,..,..,128171,..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,93563,..,..,10895,520,..,2514,..,..,14,..,..,420,42,9278,..,..,..,..,1,57196,3,162,2,12,4877,..,..,..,20,..,..,..,..,..,..,..,..,..,2936,..,..,..,..,19321,..,..,..,..,20,84,..,133,5776,..,2,13,..,98,143,1801,..,..,27345,257,..,..,..,..,8,91,..,..,..,..,..,45,14511,..,13733,..,..,..,..,..,40649,..,..,..,..,..
1990,Brunei Darussalam,31344,..,..,..,..,..,..,..,..,..,..,..,122,..,..,..,..,66,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,700,194,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,414,2743,..,..,..,..,..,..,..,34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18315,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,853,112,..,51,..,..,..,..,..,..,..,129,..,..,..,..,..,4649,..,..,..,..,67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,670,..,..,..,..,..,..,..,..,425,..,..,..,..,..,..,..,..,..,555,..,..,..,..,..,..,..,..,..,..,..,..,..,852,..,33,..,..,..,..,..,..,..,..,..,..,..
1990,Cambodia,19291,..,..,..,..,..,..,..,..,..,..,..,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,295,23,..,..,..,..,..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45,..,..,..,..,..,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,..,..,..,..,..,3,..,22,..,..,..,..,..,..,54,..,..,..,..,..,..,..,..,..,..,18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,..,..,10,5,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,34,..,..,..,..,9,..,..,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,7212,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,39,..,..,..,..,..,8747,..,..,..,..,..
1990,Indonesia,235727,..,..,..,..,..,..,..,..,..,..,..,2471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135,..,..,..,..,..,..,136456,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3370,..,..,..,..,..,..,..,..,4802,2521,..,..,..,..,..,..,..,..,..,..,7203,..,..,..,..,..,2190,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,343,..,..,..,..,..,..,..,..,..,2780,..,..,..,..,..,1685,..,..,..,..,4156,..,..,..,..,..,..,..,..,..,..,..,..,..,2881,..,..,..,..,1488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1801,..,..,505,253,..,..,..,..,..,..,..,..,..,..,..,..,9520,..,4465,..,..,..,..,..,..,..,..,..,..,..
1990,Lao People's Democratic Republic,11060,..,..,..,..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,701,..,..,..,..,..,..,..,..,1874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,191,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,951,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7007,..,..,..,..,..
1990,Malaysia,290112,14,..,..,..,..,..,..,..,..,..,..,945,..,..,..,..,963,..,..,..,..,..,..,..,..,..,..,..,..,1606,..,..,..,..,290,..,..,..,..,..,..,..,..,45955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16943,85172,..,14,..,..,..,..,..,2336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1391,..,..,6954,..,..,417,..,..,..,..,..,..,..,441,..,..,..,..,..,48871,..,..,..,..,250,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16678,..,..,..,..,19,..,..,..,417,..,..,..,..,..,..,..,..,..,16271,..,..,..,..,..,..,..,..,..,..,..,..,..,1279,..,..,..,..,..,..,..,5293,..,..,..,..,..
1990,Myanmar,61235,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,212,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19037,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,Philippines,72724,6,212,351,..,..,259,..,..,11,14,3,346,34,..,..,6,31,..,..,19,..,..,..,..,47,..,..,69,..,48,..,..,..,5,3688,..,302,..,..,..,..,..,6,25336,69,..,75,..,55,..,6,..,..,..,..,..,..,600,..,63,..,..,..,47,8,..,..,..,..,..,..,..,..,2,76,..,..,..,..,..,195,1,..,7,..,..,..,20,5,..,..,..,..,..,..,2,..,1038,1636,53,1,6,..,12,88,..,830,11,..,1,..,12,..,2117,..,14,..,..,11,..,..,..,..,..,108,..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,23,..,..,19,30,..,48,..,..,14,..,..,31,42,27,..,..,..,..,1,..,3,9,2,12,224,..,..,..,12,..,..,..,..,..,..,..,..,..,55,..,..,..,..,54,..,..,..,..,..,84,..,133,15,..,2,13,..,28,79,..,..,..,83,4,..,..,..,..,8,91,..,..,..,..,..,45,2723,..,7061,..,..,..,..,..,10061,..,..,..,..,..
1990,Singapore,381420,..,..,..,..,..,..,..,..,..,..,..,1299,..,..,..,..,2978,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,321,..,..,..,..,..,..,79961,7994,6645,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4766,11999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,107079,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,506,..,..,..,..,..,..,..,4169,..,..,..,..,..,907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3139,..,..,..,..,..,..,..,..,..,1109,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1543,..,..,..,..,..,..,..,..,..,..,..
1990,Thailand,245207,..,..,..,..,..,..,..,..,..,..,..,184,..,..,..,..,287,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37536,..,351,..,..,..,..,..,..,19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,340,..,..,..,..,..,392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1486,279,..,..,..,..,..,169,..,4037,..,..,..,..,..,..,89787,..,..,..,..,..,..,..,..,..,..,396,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91556,..,..,3003,30,..,1428,..,..,..,..,..,389,..,484,..,..,..,..,..,771,..,18,..,..,162,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,206,..,..,..,..,1,..,..,..,1752,..,..,..,..,70,64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,..,449,..,..,..,..,..,9448,..,..,..,..,..
1990,Timor-Leste,4504,..,..,..,..,..,..,..,..,..,..,..,224,..,..,..,..,43,..,..,..,..,..,..,..,..,..,..,93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,340,..,..,..,..,..,..,..,..,..,44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64,..,..,..,..,..,..,..,87,..,..,..,..,..,274,..,135,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,..,..,..,..,..,93,..,..,..,..,..
1990,Viet Nam,12888,..,..,..,..,..,..,..,..,..,..,..,8,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9694,..,12,..,..,..,..,..,..,289,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82,305,..,..,..,..,..,..,..,43,..,..,..,..,..,..,576,..,..,..,..,..,..,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,394,..,..,56,..,..,..,..,..,..,..,..,..,..,4,..,..,..,..,..,5,..,..,..,..,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179,..,..,..,..,..,..,..,..,22,..,..,..,..,..,..,..,..,..,589,..,..,..,..,..,..,..,..,..,..,..,..,..,116,..,105,..,..,..,..,..,..,..,..,..,..,..
1990,Western Asia,6298929,62234,403,10545,..,..,..,..,..,13236,110118,..,3103,6975,282739,..,4856,161960,..,28368,4480,..,..,..,..,1,3209,1,3419,9,7,249443,..,..,..,..,6,3046,..,..,2,8023,..,1398,1358,7,..,710,..,..,..,6,..,56,8,..,4784,247,23,91,1077,1,..,2,1,370528,1,..,2830,865,49117,..,..,1,674,15542,..,..,..,..,55781,108996,29,..,60606,..,..,5,..,..,..,..,..,1,..,..,8459,11,562725,293505,45891,93185,243,..,55991,3661,2,527,94644,19566,24,..,15574,4593,1,5939,30594,..,..,10440,..,9416,7,1,1,497,..,..,9,..,..,54,1,..,788,..,..,22,..,..,82804,2,29985,..,..,42887,9854,..,65,1,1,1151,..,..,449,5046,264523,..,1,..,2,397,188229,54468,37,..,5224,116,18479,..,74398,261430,..,..,..,..,..,..,..,..,..,21039,6,357,1,..,35,..,66,19,..,17647,5131,1984,2107,164851,789477,101267,1,11,1529,5704,191240,4314,18555,2328,..,..,..,..,3,22532,26459,3290,..,..,1,127551,26563,30370,23,37935,..,2273,36343,..,390,313,..,..,153368,21,43
1990,Armenia,388254,..,..,..,..,..,..,..,..,..,..,..,..,..,268918,..,..,..,..,900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1082,379,..,..,3370,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5651,..,..,..,..,..,..,..,..,608,..,..,..,..,..,..,689,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42083,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1925,..,..,..,..,..,..,..,..,..,1451,584,..,..,..,6358,..,..,..,..,..,..,862,..,..,..,..,..,..,..,..
1990,Azerbaijan,202744,79,..,..,..,..,..,..,..,..,107644,..,..,..,..,..,..,..,..,512,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,375,..,..,..,..,..,..,..,..,..,..,38895,234,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,825,..,..,..,..,..,..,..,..,3103,..,..,..,1940,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,341,..,..,28517,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,217,..,..,..,..,..,..,..,..,800,1418,..,..,..,3025,..,..,..,..,..,..,12977,..,..,..,..,..,..,..,..
1990,Bahrain,50482,61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2049,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8359,..,..,145,..,102,..,..,..,..,28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14165,3086,..,..,..,..,..,..,..,..,1372,..,..,..,497,..,..,..,207,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73,..,..,..,..,65,108,..,..,..,..,53,..,..,..,..,5000,..,..,..,..,..,3435,..,..,..,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,..,..,..,..,..,..,..,..,..,97,..,196,..,4319,436,1589,..,..,..,..,506,..,..,84,..,..,..,..,..,44,368,..,..,..,..,..,458,674,..,129,..,..,..,..,..,..,..,..,1675,..,..
1990,Cyprus,23342,..,28,4,..,..,..,..,..,9,133,..,363,49,5,..,12,3,..,63,33,..,..,..,..,1,9,1,9,..,1,1030,..,..,..,..,6,189,..,..,2,..,..,7,194,..,..,22,..,..,..,1,..,12,4,..,..,106,5,89,23,1,..,2,1,516,1,..,1,5,12,..,..,1,88,131,..,..,..,..,1720,352,10,..,2487,..,..,..,..,..,..,..,..,1,..,..,50,6,270,36,110,24,123,..,41,59,2,12,39,35,10,..,24,3,1,28,298,..,..,23,..,18,2,1,1,7,..,..,3,..,..,..,1,..,10,..,..,..,..,..,7,2,8,..,..,2,68,..,14,1,1,32,..,..,31,6,9,..,1,..,2,5,1597,127,11,..,1,2,182,..,922,1828,..,..,..,..,..,..,..,..,..,26,1,327,1,..,6,..,20,2,..,1,650,..,27,1899,36,63,1,..,143,58,188,1,3,52,..,..,..,..,3,3,77,2,..,..,1,528,15,4694,18,398,..,1,10,..,9,13,..,..,2,21,43
1990,Georgia,171185,..,..,..,..,..,..,..,..,..,2212,..,..,..,4269,..,..,..,..,9360,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,235,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,469,..,..,..,..,..,..,..,..,..,..,..,4631,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11773,..,..,..,1884,..,770,..,..,..,..,..,2016,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2329,..,..,..,..,2441,..,210,87707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1849,..,..,..,..,..,..,..,..,245,885,..,..,..,26194,..,..,..,..,..,..,5555,..,..,..,..,..,..,..,..
1990,Iraq,27887,81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2177,..,..,87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,..,5148,..,..,..,..,..,..,..,2448,..,..,..,104,..,..,..,505,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41,..,..,..,..,..,..,..,..,176,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,144,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,..,..,..,..,..,..,..,..,..,153,..,..,..,..,..,..,..,..,..,59,..,49,..,..,4832,402,..,..,..,..,1826,..,..,..,..,..,..,..,..,36,307,..,..,..,..,..,54,..,..,..,..,..,..,..,..,..,..,..,329,..,..
1990,Israel,861927,1442,..,10342,..,..,..,..,..,13211,..,..,1132,3343,7687,..,..,..,..,17481,2015,..,..,..,..,..,..,..,3299,..,..,10480,..,..,..,..,..,2570,..,..,..,..,..,1385,559,..,..,669,..,..,..,..,..,..,..,..,..,..,..,..,629,..,..,..,..,11310,..,..,..,..,20028,..,..,..,380,9593,..,..,..,..,13224,14811,..,..,708,..,..,..,..,..,..,..,..,..,..,..,8295,..,8723,..,24163,37391,..,..,..,2439,..,..,..,3413,..,..,..,592,..,5131,2377,..,..,9885,..,7346,..,..,..,..,..,..,..,..,..,..,..,..,760,..,..,..,..,..,80590,..,..,..,..,..,2447,..,..,..,..,..,..,..,..,..,..,..,..,..,..,385,..,51546,..,..,..,..,15064,..,70150,95488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4436,..,1761,..,..,..,..,..,690,1525,5751,2233,..,..,..,..,..,..,..,21025,16087,271,..,..,..,90720,..,7866,..,24132,..,2268,15973,..,345,..,..,..,18980,..,..
1990,Jordan,559876,31,..,159,..,..,..,..,..,..,15,..,102,44,..,..,82,297,..,..,16,..,..,..,..,..,170,..,63,..,6,45,..,..,..,..,..,118,..,..,..,..,..,..,89,..,..,12,..,..,..,..,..,16,..,..,9,12,15,..,26,..,..,..,..,49968,..,..,75,..,9,..,..,..,..,126,..,..,..,..,..,207,15,..,72,..,..,..,..,..,..,..,..,..,..,..,31,..,268,111,73,10230,58,..,4,284,..,55,..,2,..,..,137,..,..,..,1808,..,..,157,..,..,..,..,..,463,..,..,..,..,..,13,..,..,..,..,..,..,..,..,257,..,..,..,..,2,77,..,12,..,..,9,..,..,3,247,2445,..,..,..,..,..,1970,54,..,..,36,48,1,..,288,443,..,..,..,..,..,..,..,..,..,1666,..,30,..,..,..,..,8,..,..,9,13,52,174,10931,448549,423,..,..,43,30,22797,..,156,37,..,..,..,..,..,116,358,..,..,..,..,39,92,214,..,958,..,..,..,..,31,..,..,..,724,..,..
1990,Kuwait,419513,526,..,..,..,..,..,..,..,..,..,..,..,..,..,..,170,17595,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,343,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69940,..,..,1242,..,874,..,..,..,..,236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117332,26496,..,..,..,..,..,..,..,..,11777,..,..,..,..,..,..,..,1780,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,628,..,..,..,..,558,929,..,..,..,..,457,..,..,..,..,41211,..,..,..,..,..,27601,..,..,..,44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,208,..,..,..,..,..,..,..,..,..,832,..,..,..,32728,3747,15329,..,..,..,..,4348,..,..,719,..,..,..,..,..,379,3159,..,..,..,..,..,3932,5784,..,1108,..,..,..,..,..,..,..,..,14377,..,..
1990,Lebanon,255771,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,136,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22827,..,..,..,..,..,..,..,..,..,58,..,..,..,..,..,95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,..,122,51,..,4673,..,..,2,..,..,..,826,..,..,..,63,..,..,..,..,..,..,72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113,1117,..,..,..,..,..,900,..,..,..,..,..,..,..,..,202,..,..,..,..,..,..,..,..,..,761,..,..,..,..,..,..,..,..,..,..,..,24,..,4994,204913,193,..,..,..,..,10415,..,..,..,..,..,..,..,..,..,164,..,..,..,..,18,..,98,..,438,..,..,..,..,..,..,..,..,331,..,..
1990,Oman,61523,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56,718,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8541,..,..,..,..,..,..,..,..,..,68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21957,4250,..,52,..,..,..,..,..,..,1888,..,..,..,22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,269,..,..,..,..,..,..,..,..,..,4301,..,..,..,..,..,3574,..,..,..,16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60,..,..,..,..,..,..,..,..,..,..,..,..,..,9423,..,2063,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1140,1394,..,..,..,..,..,..,..,..,..,..,..,..,..
